Data,Hora,MediaDiaria,TipoMedicaoCotas,Maxima,Minima,Media
01/04/2021,,1,1,103012,103003,103007
01/04/2021,01/01/1900 07:00:00,0,1,103012,103003,103007
01/04/2021,01/01/1900 17:00:00,0,1,103012,103003,103007
01/03/2021,01/01/1900 07:00:00,0,1,103030,103007,103017
01/03/2021,01/01/1900 17:00:00,0,1,103030,103007,103017
01/03/2021,,1,1,103030,103007,103017
01/01/2021,,1,1,102917,102891,102907
01/01/2021,01/01/1900 17:00:00,0,1,102917,102891,102907
01/01/2021,01/01/1900 07:00:00,0,1,102917,102891,102907
01/12/2020,01/01/1900 07:00:00,0,1,102892,102870,102880
01/12/2020,01/01/1900 17:00:00,0,1,102892,102870,102880
01/12/2020,,1,1,102892,102870,102880
01/11/2020,,1,1,102889,102856,102869
01/11/2020,01/01/1900 07:00:00,0,1,102889,101860,102852
01/11/2020,01/01/1900 17:00:00,0,1,102889,101860,102852
01/10/2020,,1,1,102884,102841,102858
01/09/2020,,1,1,102944,102886,102915
01/08/2020,,1,1,102986,102945,102969
01/07/2020,,1,1,103003,102988,102996
01/06/2020,,1,1,103010,103002,103005
01/05/2020,,1,1,103021,103008,103013
01/04/2020,,1,1,103043,103017,103027
01/03/2020,,1,1,103051,103015,103029
01/02/2020,,1,1,103026,103003,103018
01/01/2020,,1,1,103001,102795,102897
01/12/2019,,1,1,102796,102753,102781
01/11/2019,,1,1,102772,102747,102758
01/10/2019,,1,1,102843,102774,102806
01/09/2019,,1,1,102923,102846,102885
01/08/2019,,1,1,102974,102926,102953
01/07/2019,,1,1,102996,102974,102987
01/06/2019,,1,1,103005,102996,103001
01/05/2019,,1,1,103018,103005,103010
01/04/2019,,1,1,103034,103014,103022
01/03/2019,,1,1,103032,103008,103017
01/03/2019,,1,1,103032,103008,103017
01/02/2019,,1,1,103013,102998,103006
01/01/2019,,1,1,103012,103001,103007
01/12/2018,,1,1,103009,102903,102971
01/11/2018,,1,1,102901,102751,102812
01/10/2018,,1,1,102777,102744,102757
01/09/2018,,1,1,102844,102780,102812
01/08/2018,,1,1,102895,102847,102872
